"Carimbo de data/hora","Em que período você se encontra?","Que curso você faz?","Em que campus você estuda?","Você acredita que as vagas ofertadas no RAE foram suficientes?","Com relação às disciplinas que queria cursar, você conseguiu se matricular em:","No geral, você acha o RAE:","Você acredita que o seu desempenho no RAE, em comparação com o presencial:","Na sua opinião, a qualidade do ensino no RAE, em comparação com o presencial, é:","Você acredita que o RAE afetou sua saúde mental para:","No que diz respeito a dificuldades técnicas (queda de internet ou energia, indisponibilidade de equipamento etc), você passa por elas:","Na sua opinião, os professores são tolerantes com imprevistos que impossibilitem a realização de atividades?","No geral, você acha que essas dificuldades prejudicam o seu desempenho?","Em geral, você acha que a atuação dos professores no RAE é/está sendo:","Na sua experiência, o atendimento individual dos professores aos alunos está sendo:","Na sua opinião, em comparação com o regime presencial, no RAE os professores estão:","No geral, em comparação com o regime presencial, você acha que o volume de atividades exigidas no RAE é:","Você julga esse volume de atividades abusivo?","Como você avalia a atuação da UFCG diante da pandemia?","Como você avalia o desempenho da coordenação do seu curso no atendimento e suporte aos estudantes no RAE?"
"2020/10/27 8:32:27 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Menos exigentes","Maior","Não","Boa","Excelente"
"2020/10/27 8:33:15 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"2020/10/27 8:33:47 AM GMT-3","5","Engenharia de Produção","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Não afetou","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Bom"
"2020/10/27 8:34:09 AM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Não","Regular","Excelente"
"2020/10/27 8:35:17 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Não sei/Não quero responder","Melhor","Raramente","Sim","Nao","Boa","Insuficiente","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"2020/10/27 8:36:01 AM GMT-3","9","Ciências Biológicas","Cajazeiras","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Razoável","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Bom"
"2020/10/27 8:37:25 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Melhorou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Bom","Mais exigentes","Igual","Não sei/Não quero responder","Péssima","Não sei/Não quero responder"
"2020/10/27 8:38:26 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Sim","Todas","Bom","Melhorou","Igual","Melhor","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"2020/10/27 8:39:23 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Péssima","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"2020/10/27 8:40:06 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Todas","Ruim","Não mudou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Ruim","Não sei/Não quero responder","Mais exigentes","Maior","Sim","Péssima","Não sei/Não quero responder"
"2020/10/27 8:41:03 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Péssima","Péssimo"
"2020/10/27 8:42:06 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Piorou","Igual","Pior","Frequentemente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Ruim"
"2020/10/27 8:42:12 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Ruim","Razoável","Mais exigentes","Muito maior","Não","Regular","Bom"
"2020/10/27 8:42:37 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Ruim","Razoável","Tão exigentes quanto","Muito maior","Sim","Péssima","Regular"
"2020/10/27 8:43:28 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Todas","Ruim","Não sei/Não quero responder","Pior","Pior","Raramente","Não","Não sei/Não quero responder","Péssima","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Péssima","Ruim"
"2020/10/27 8:44:53 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Não mudou","Pior","Pior","Raramente","Sim","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"2020/10/27 8:48:45 AM GMT-3","10","Engenharia Elétrica","Sousa","Não sei/Não quero responder","Todas","Excelente","Não mudou","Igual","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Tão exigentes quanto","Igual","Sim","Regular","Regular"
"2020/10/27 8:49:13 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Todas","Bom","Melhorou","Melhor","Não afetou","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Ruim","Excelente"
"2020/10/27 8:49:17 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Sim","Todas","Ruim","Piorou","Igual","Pior","Raramente","Sim","Nao","Razoável","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Regular","Bom"
"2020/10/27 8:49:40 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Melhor","Pior","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Menos exigentes","Maior","Não sei/Não quero responder","Regular","Bom"
"2020/10/27 8:52:21 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Melhor","Não afetou","Raramente","Sim","Nao","Boa","Insuficiente","Tão exigentes quanto","Igual","Não","Excelente","Excelente"
"2020/10/27 8:53:39 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Melhorou","Igual","Pior","Frequentemente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/27 8:54:18 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Ruim","Excelente"
"2020/10/27 8:54:26 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Não mudou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Bom","Tão exigentes quanto","Maior","Não","Ruim","Regular"
"2020/10/27 8:54:28 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Melhorou","Igual","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Razoável","Razoável","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Não sei/Não quero responder"
"2020/10/27 8:56:16 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Não sei/Não quero responder","Raramente","Sim","Sim","Razoável","Não sei/Não quero responder","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/27 8:57:08 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Razoável","Inexistente","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"2020/10/27 8:57:26 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Não mudou","Igual","Melhor","Raramente","Sim","Não passo por essas dificuldades","Excelente","Bom","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"2020/10/27 8:58:15 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Melhorou","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Bom","Mais exigentes","Muito maior","Sim","Boa","Bom"
"2020/10/27 8:59:42 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Melhor","Raramente","Não","Não passo por essas dificuldades","Ruim","Insuficiente","Tão exigentes quanto","Igual","Não","Péssima","Ruim"
"2020/10/27 9:00:35 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Péssima","Bom","Tão exigentes quanto","Muito maior","Sim","Boa","Não sei/Não quero responder"
"2020/10/27 9:00:51 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Melhorou","Igual","Não afetou","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Maior","Não","Ruim","Regular"
"2020/10/27 9:02:45 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Algumas","Bom","Não mudou","Melhor","Melhor","Raramente","Sim","Nao","Boa","Razoável","Tão exigentes quanto","Igual","Não","Boa","Bom"
"2020/10/27 9:11:02 AM GMT-3","2","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Não afetou","Raramente","Sim","Não passo por essas dificuldades","Boa","Excelente","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"2020/10/27 9:12:35 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Todas","Péssimo","Melhorou","Pior","Pior","Raramente","Não","Sim","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/27 9:13:25 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Piorou","Igual","Não afetou","Raramente","Sim","Sim","Excelente","Insuficiente","Tão exigentes quanto","Maior","Não","Boa","Excelente"
"2020/10/27 9:16:27 AM GMT-3","9","Ciências Biológicas","Cajazeiras","Sim","Todas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não sei/Não quero responder","Boa","Bom"
"2020/10/27 9:17:53 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Melhorou","Igual","Não afetou","Raramente","Não","Nao","Razoável","Razoável","Mais exigentes","Maior","Não","Regular","Bom"
"2020/10/27 9:21:27 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Algumas","Bom","Não mudou","Pior","Melhor","Raramente","Não","Nao","Razoável","Razoável","Tão exigentes quanto","Maior","Não","Ruim","Não sei/Não quero responder"
"2020/10/27 9:22:24 AM GMT-3","7","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Raramente","Sim","Nao","Razoável","Razoável","Menos exigentes","Muito maior","Não sei/Não quero responder","Péssima","Bom"
"2020/10/27 9:28:09 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Bom","Melhorou","Pior","Melhor","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não","Regular","Excelente"
"2020/10/27 9:30:01 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Ruim","Inexistente","Mais exigentes","Maior","Sim","Regular","Bom"
"2020/10/27 9:32:32 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito menor","Não","Excelente","Excelente"
"2020/10/27 9:33:54 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Piorou","Pior","Não afetou","Raramente","Não sei/Não quero responder","Sim","Boa","Não sei/Não quero responder","Mais exigentes","Maior","Não sei/Não quero responder","Regular","Excelente"
"2020/10/27 9:38:28 AM GMT-3","3","Engenharia Elétrica","Campina Grande","Sim","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Tão exigentes quanto","Maior","Sim","Péssima","Bom"
"2020/10/27 9:39:10 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Excelente","Não mudou","Igual","Não afetou","Nunca","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Igual","Sim","Excelente","Excelente"
"2020/10/27 9:39:30 AM GMT-3","1","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Tão exigentes quanto","Muito maior","Sim","Ruim","Bom"
"2020/10/27 9:42:18 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Melhorou","Igual","Melhor","Nunca","Sim","Não passo por essas dificuldades","Boa","Bom","Menos exigentes","Igual","Não","Boa","Bom"
"2020/10/27 9:43:53 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Razoável","Mais exigentes","Muito maior","Não","Boa","Excelente"
"2020/10/27 9:44:45 AM GMT-3","1","História","Cajazeiras","Não sei/Não quero responder","Não sei/Não quero responder","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/27 9:44:55 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Bom","Tão exigentes quanto","Muito maior","Sim","Regular","Excelente"
"2020/10/27 9:46:25 AM GMT-3","7","História","Cajazeiras","Não","Algumas","Ruim","Não mudou","Pior","Não afetou","Frequentemente","Sim","Nao","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"2020/10/27 9:46:41 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Péssimo","Piorou","Pior","Pior","Raramente","Sim","Sim","Boa","Bom","Tão exigentes quanto","Maior","Sim","Regular","Excelente"
"2020/10/27 9:47:18 AM GMT-3","9","História","Cajazeiras","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Sim","Excelente","Bom","Menos exigentes","Maior","Não","Ruim","Excelente"
"2020/10/27 9:47:33 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Sim","Todas","Ruim","Não mudou","Pior","Não afetou","Raramente","Sim","Sim","Ruim","Não sei/Não quero responder","Tão exigentes quanto","Maior","Sim","Ruim","Bom"
"2020/10/27 9:48:00 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Não sei/Não quero responder","Pior","Não sei/Não quero responder","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Não sei/Não quero responder","Não sei/Não quero responder","Não sei/Não quero responder","Regular","Não sei/Não quero responder"
"2020/10/27 9:48:09 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Não","Sim","Boa","Inexistente","Mais exigentes","Muito maior","Não sei/Não quero responder","Boa","Excelente"
"2020/10/27 9:48:40 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Boa","Excelente","Não sei/Não quero responder","Igual","Não sei/Não quero responder","Regular","Bom"
"2020/10/27 9:48:51 AM GMT-3","10","Engenharia Elétrica","Campina Grande","Sim","Todas","Bom","Não mudou","Pior","Pior","Raramente","Não","Sim","Boa","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/27 9:48:58 AM GMT-3","3","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Razoável","Menos exigentes","Igual","Não","Regular","Bom"
"2020/10/27 9:49:59 AM GMT-3","5","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Não afetou","Frequentemente","Sim","Sim","Boa","Bom","Menos exigentes","Menor","Não","Regular","Excelente"
"2020/10/27 9:50:12 AM GMT-3","4","História","Cajazeiras","Sim","Todas","Ruim","Piorou","Igual","Pior","Frequentemente","Sim","Sim","Excelente","Excelente","Menos exigentes","Muito maior","Sim","Boa","Bom"
"2020/10/27 9:50:14 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Ruim","Piorou","Pior","Pior","Frequentemente","Sim","Sim","Razoável","Razoável","Tão exigentes quanto","Muito maior","Sim","Ruim","Excelente"
"2020/10/27 9:51:49 AM GMT-3","5","História","Cajazeiras","Sim","Algumas","Razoável","Não sei/Não quero responder","Pior","Não afetou","Frequentemente","Sim","Não sei/Não quero responder","Excelente","Excelente","Tão exigentes quanto","Igual","Não","Boa","Excelente"
"2020/10/27 9:53:21 AM GMT-3","6","Engenharia Elétrica","Campina Grande","Sim","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Não","Sim","Péssima","Insuficiente","Mais exigentes","Muito maior","Sim","Boa","Excelente"
"2020/10/27 9:54:05 AM GMT-3","1","História","Cajazeiras","Não","Todas","Razoável","Não mudou","Não sei/Não quero responder","Não afetou","Raramente","Não sei/Não quero responder","Não passo por essas dificuldades","Boa","Insuficiente","Não sei/Não quero responder","Igual","Não","Regular","Bom"
"2020/10/27 9:54:24 AM GMT-3","10","História","Cajazeiras","Não sei/Não quero responder","Todas","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Menos exigentes","Menor","Não","Regular","Excelente"
"2020/10/27 9:59:54 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não","Sim","Ruim","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/27 10:01:51 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Igual","Não afetou","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Péssima","Regular"
"2020/10/27 10:04:05 AM GMT-3","6","História","Cajazeiras","Sim","Todas","Razoável","Piorou","Não sei/Não quero responder","Pior","Frequentemente","Não sei/Não quero responder","Sim","Boa","Bom","Não sei/Não quero responder","Maior","Não sei/Não quero responder","Não sei/Não quero responder","Bom"
"2020/10/27 10:04:15 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Igual","Não afetou","Raramente","Não","Sim","Boa","Bom","Tão exigentes quanto","Maior","Não sei/Não quero responder","Boa","Excelente"
"2020/10/27 10:06:50 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Ruim","Melhorou","Não sei/Não quero responder","Pior","Frequentemente","Não","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Não sei/Não quero responder","Não sei/Não quero responder"
"2020/10/27 10:10:05 AM GMT-3","6","História","Cajazeiras","Não","Algumas","Razoável","Piorou","Pior","Pior","Nunca","Sim","Sim","Razoável","Bom","Tão exigentes quanto","Maior","Sim","Ruim","Regular"
"2020/10/27 10:10:19 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Não mudou","Pior","Pior","Raramente","Não","Não passo por essas dificuldades","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Ruim","Regular"
"2020/10/27 10:11:22 AM GMT-3","1","História","Cajazeiras","Sim","Não sei/Não quero responder","Razoável","Piorou","Pior","Não afetou","Raramente","Sim","Sim","Boa","Bom","Não sei/Não quero responder","Não sei/Não quero responder","Sim","Excelente","Bom"
"2020/10/27 10:11:51 AM GMT-3","9","Engenharia Elétrica","Campina Grande","Sim","Algumas","Razoável","Piorou","Pior","Pior","Raramente","Não","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Regular","Excelente"
"2020/10/27 10:12:46 AM GMT-3","5","Engenharia Elétrica","Campina Grande","Não","Algumas","Bom","Não mudou","Pior","Pior","Raramente","Sim","Sim","Razoável","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Bom"
"2020/10/27 10:14:18 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não","Todas","Razoável","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Não sei/Não quero responder","Ruim","Bom"
"2020/10/27 10:17:07 AM GMT-3","4","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Todas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Não sei/Não quero responder","Razoável","Inexistente","Mais exigentes","Muito maior","Sim","Péssima","Bom"
"2020/10/27 10:17:52 AM GMT-3","5","História","Cajazeiras","Não sei/Não quero responder","Algumas","Péssimo","Piorou","Pior","Pior","Frequentemente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Muito maior","Sim","Ruim","Bom"
"2020/10/27 10:21:49 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não","Algumas","Razoável","Não mudou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Razoável","Razoável","Mais exigentes","Maior","Sim","Boa","Bom"
"2020/10/27 10:22:41 AM GMT-3","8","Engenharia Elétrica","Campina Grande","Não sei/Não quero responder","Algumas","Ruim","Piorou","Pior","Pior","Raramente","Sim","Nao","Ruim","Insuficiente","Mais exigentes","Muito maior","Sim","Regular","Ruim"
"2020/10/27 10:25:37 AM GMT-3","5","Psicologia","Campina Grande","Não","Algumas","Péssimo","Piorou","Pior","Pior","Raramente","Não sei/Não quero responder","Sim","Ruim","Inexistente","Menos exigentes","Maior","Sim","Péssima","Regular"
